id,category,secondary_categories,confidence_score,title,company,location,pay,job_type,shift_schedule,last_seen_at,job_url,description,experience_required,requirement_summary,requirement_evidence
669,"Engineering, Architecture & CAD",,7,pipework draftsperson,Adseal Group,Work from Home,PHP 200 - PHP 500 an hour,Part-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=738d4272a1a06ad8,"Draftsperson – 3D CAD (Piping & Brackets)
Contract / Remote
We are looking for a skilled Draftsperson with strong 3D CAD capability to help convert hand‑drawn sketches, photos, and reference images into CAD models and fabrication drawings. This role suits someone who is confident working from minimal initial information and can turn rough concepts into clean, production‑ready files.
The drawings are not required to be high precision - the emphasis is on communication - sometimes working with technicians on site to check measure.
What You’ll Do
Convert hand sketches and photos into accurate 2D and 3D CAD models.
Draft piping components: elbows, reducers, flanges, transitions, supports, and brackets.
Produce fabrication drawings with full dimensions and part identifiers.
Reverse‑engineer geometry from images when measurements are limited.
Deliver clean, organised CAD files ready for manufacturing.
What You Need
Strong skills in CAD, SketchUp, or similar.
Experience drafting piping layouts, brackets, supports, and mechanical components.
Ability to interpret rough sketches and incomplete notes.
High attention to detail and accuracy.
Nice to Have
Experience with pipework, ducting, guards, or sheet‑metal style components.
How to Apply
Send your portfolio or sample drawings showing piping components, brackets, or any work created from sketches/photos.
Potential for fully time work for the right applicant
Pay: Php200.00 - Php500.00 per hour
Work Location: Remote",unclear,No explicit main requirement found.,
668,Legal,,9,Case Manager Assistant,Lawyer Vince,Work from Home,PHP 370 - PHP 740 an hour,Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=ca5be12abb66fe50,"Lawyer Vince is a fast-growing personal injury law firm dedicated to helping injured people get the justice and compensation they deserve.
Our team handles serious injury cases including car accidents, motorcycle accidents, slip and falls, dog bites, and wrongful death cases throughout California.
We pride ourselves on delivering excellent client service, strong advocacy, and real support for people going through difficult situations. Our team works hard, moves quickly, and is always looking for ways to improve the experience for our clients.
If you are passionate about helping injured people and want to grow with a firm that is expanding rapidly, we would love to meet you.
Position Overview
We are looking for a Case Manager Assistant with personal injury pre-litigation experience to join our team.
This role is ideal for someone who is organized, detail-oriented, and enjoys helping clients navigate the personal injury process. You will assist with case management, client communication, and medical records coordination while working closely with attorneys and the rest of the legal team.
Key Responsibilities
Assist with personal injury case management (pre-litigation)
Request and track medical records and billing
Communicate with clients regarding case updates
Conduct client intake calls
Assist with scheduling medical appointments
Maintain organized case files and documentation
Work closely with attorneys and case managers
Provide excellent client service and support
Preferred Qualifications
1–2+ years of personal injury experience
Experience handling pre-litigation personal injury cases
Experience requesting and managing medical records and billing
Strong organizational and time management skills
Ability to handle a high volume of cases
Comfortable speaking with clients and handling phone calls
Detail-oriented and highly organized
Strong writing and communication skills
Team player with a positive attitude
Typing speed of 50+ WPM
Experience with Filevine or similar case management software is a plus
Job Details
Position: Case Manager Assistant
Job Type: Full-time
Location: Remote
Schedule:
8-hour shift (Pacific Standard Time)
Job Type: Full-time
Work Location: Remote
Job Type: Full-time
Pay: Php370.00 - Php740.00 per hour
Work Location: Remote",yes,2+ years of personal injury experience,1–2+ years of personal injury experience
667,Healthcare & Medical Admin,,9,IP Medical Coder [2x a month],Freelancing Philippines,Work from Home,"PHP 70,000 - PHP 90,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=d404739794134b85,"As a Medical Coder, you will be responsible for reviewing medical records and assigning appropriate diagnostic and procedural codes for patient services. Your role ensures compliance with coding guidelines and regulations. Attention to detail is crucial to accurately translate medical procedures, diagnoses, and treatments into standardized codes. Your work supports healthcare providers in billing, clinical research, and quality improvement initiatives.
INPATIENT CODER
Inpatient Coding Certification: CPC/ CIC/ CCA/ CCS-P/ CCS
Knowledgeable in ICD 10-CM & ICD 10- PCS
What You Need To Have:
At least 1 year of experience as Inpatient medical coding
Bachelor's degree in medical records or medical allied field.
Proficient in computer applications.
Advanced understanding of automated encoder systems.
Amenable to work on a dayshift schedule (may change depending on business need)
Job Type: Full-time
Pay: Php70,000.00 - Php90,000.00 per month
Benefits:
Work from home
Work Location: Remote",yes,At least 1 year of experience as Inpatient medical coding,At least 1 year of experience as Inpatient medical coding
666,Marketing & Growth,,7,Virtual Marketing Assistant,Shipnow Information Technology Pty Ltd,Remote,"PHP 22,000 - PHP 25,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=f01f695742665774,"Job Description:
In charge of all of the graphic design, video contents, video editing, catalogue creation
Write marketing literature (brochures, press releases etc.) to augment the company’s presence in the market
Communicate directly with clients and encourage trusting relationships
Compose and post online content on the company’s website and social media accounts
Prepare and deliver promotional presentations
Assist in the organizing of promotional events and traditional or digital campaigns and attend them to facilitate their success
Employ marketing analytics techniques to gather important data (social media, web analytics,
rankings etc.)
Update spreadsheets, databases and inventories with statistical, financial and non-financial information
Support marketing executives in organizing various projects
Conduct market research and analyze consumer rating reports/ questionnaires
Undertake daily administrative tasks to ensure the functionality and coordination of the department’s activities
Responsible for a campaign budget optimizer
Will work on Amazon/Ebay campaign management
Job Requirements:
At least 2 years or more experience as Virtual Marketing Assistant
Familiar and experience in an E-commerce Platform
Technical Proficiency: Expert-level skills in design tools (e.g., Adobe Creative Suite, Canva) and video editing software (e.g., Premiere Pro, CapCut)
Organization: Ability to manage multiple projects simultaneously while meeting strict deadlines.
Job Type: Full-time
Pay: Php22,000.00 - Php25,000.00 per month
Application Question(s):
Please provide your sample works link here:
Please provide your email address and WhatsApp number for us to contact you for initial interview.
Experience:
Marketing Assistant (International or AU market): 1 year (Required)
Graphic design (catalogues, brochures etc): 1 year (Required)
Motion graphic designs: 1 year (Required)
Language:
English (Required)
Work Location: Remote",yes,Marketing Assistant (International or AU market): 1 year (Required),Marketing Assistant (International or AU market): 1 year (Required)
665,Creative Content & Design,,7,TikTok Content Creator,Artworkout,Remote,"PHP 18,400 - PHP 49,067 a month","Part-time, Temporary",,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=07fa9e97a70d5484,"TikTok Content Creator
We are looking for a talented TikTok content creator for our mobile app that teaches drawing in a fun, relaxing, and gamified way.
Our app is the most popular in its category and regularly ranks #1 in the Education category on the App Store worldwide. The app teaches users how to draw on iPad and has already generated over 1 billion views on TikTok through hundreds of channels across different countries.
We are looking for people who love drawing and can create engaging content for TikTok and other social media platforms with high reach and strong viewership.
Goal
Promote our drawing app on social media and achieve high organic reach.
Responsibilities
Create 1–2 videos per day (drawing content using our app) following our guidelines.
The format is simple — we will provide video examples.
Edit videos and publish them across different social media platforms.
Work remotely from anywhere in the world — the only requirement is having an iPad and an Apple Pencil.
Requirements
Experience working with social media.
Understanding of trends and video editing skills.
Ability to create content that gets recommended by algorithms and goes viral.
Minimum of 1 video per day (required).
Must own an iPad and Apple Pencil.
Must use a VPN connected to the United States, Canada, the United Kingdom, or Australia.
Compensation
The company pays on a CPM basis for English-language content targeting English-speaking audiences through VPN usage:
$0.20 per 1,000 views on TikTok.
$0.10 per 1,000 views on YouTube.
$0.50 per 1,000 views on Pinterest.
Example:
5 million views = $1,000 (TikTok, English-language content).
If videos do not perform well during the first month, the company guarantees a minimum fixed payment:
30 videos — $300.
45 videos — $450.
A strong creator who publishes 1–2 videos per day typically earns $800+ per month.
Important
To start working with us, you must complete an test assignment.
Pay: Php18,400.00 - Php49,067.00 per month
Work Location: Remote",unclear,No explicit main requirement found.,
664,Operations & Project Management,,7,Virtual Leasing Coordinator,SubSource,Remote,"PHP 24,500 - PHP 58,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=3dd93479c6fb4432,"Department: Real Estate / Lease Administration
Employment Type: Full-Time
Location: Remote
About the Role
We are seeking a highly organized, analytical, and detail-oriented Retail Leasing Coordinator to support the management of a growing portfolio of retail locations. This role is responsible for researching retail sites, administering lease documentation, reviewing lease obligations, validating landlord billings, auditing lease files, and coordinating with landlords, brokers, attorneys, franchisees, and third-party vendors.
The ideal candidate enjoys working with contracts, financial data, and real estate documentation while communicating professionally with both internal and external stakeholders. This is an excellent opportunity for someone with commercial real estate, lease administration, or retail property management experience.
Key ResponsibilitiesLease Administration
Review, interpret, and summarize commercial retail leases.
Prepare and maintain lease abstracts.
Track critical lease dates including:
Rent commencements
Renewals
Options
Rent escalations
CAM reconciliations
Insurance requirements
Expiration dates
Maintain organized electronic lease files.
Ensure lease documentation is complete and audit-ready.
Lease & CAM Review
Review landlord rent statements and CAM reconciliations.
Compare invoices against lease terms.
Identify billing discrepancies and potential overcharges.
Validate:
Base Rent
Percentage Rent
CAM Charges
Taxes
Insurance
Utilities
Common Area Expenses
Assist in preparing lease audit findings and supporting documentation.
Work with accounting to resolve lease-related payment issues.
Lease File Audits
Perform comprehensive audits of lease files.
Verify all required documents are present, including:
Executed leases
Amendments
Estoppels
SNDA agreements
Insurance certificates
Landlord notices
Site plans
Correspondence
Ensure lease database accuracy.
Identify missing documentation and coordinate collection.
Research & Due Diligence
Research each retail location using various public and proprietary tools, including:
County property records
GIS mapping systems
Google Maps & Street View
Commercial real estate databases
Landlord websites
Business licenses
Property ownership records
Assessor records
Shopping center information
Demographic and trade area data
Research items may include:
Property ownership
Landlord contact information
Operating hours
Shopping center tenants
Competitor information
Zoning
Parcel information
Site characteristics
Lease obligations
Property management contacts
Third-Party Coordination
Communicate professionally with:
Landlords
Property managers
Attorneys
Brokers
Franchisees
Construction teams
Insurance providers
Utility companies
Municipal agencies
Vendors
Responsibilities include:
Requesting missing lease documents
Following up on CAM reconciliations
Coordinating lease amendments
Obtaining landlord approvals
Gathering certificates of insurance
Tracking outstanding requests
Documenting communications
Portfolio Management
Maintain lease management database.
Update key lease information.
Monitor upcoming deadlines.
Generate recurring lease reports.
Support lease renewals and relocations.
Assist with new store openings and closures.
Maintain document control standards.
Reporting
Prepare reports related to:
Lease expirations
Renewal schedules
CAM reconciliation status
Missing documentation
Landlord correspondence
Open audit items
Critical lease dates
Portfolio summaries
QualificationsRequired
2+ years of experience in commercial real estate, lease administration, retail property management, or a related field.
Strong understanding of commercial lease terminology.
Experience reviewing lease agreements.
Experience reviewing CAM reconciliations.
Excellent analytical skills.
Strong attention to detail.
Excellent written and verbal communication.
Ability to manage multiple projects simultaneously.
Advanced Microsoft Excel skills.
Strong organizational abilities.
Preferred
Experience with retail or restaurant portfolios.
Experience with lease abstraction.
Experience performing lease audits.
Knowledge of lease accounting principles.
Experience with commercial lease management software (e.g., MRI, Lucernex, CoStar, Visual Lease, LeaseQuery, Yardi).
Experience reading legal contracts.
Familiarity with GIS or mapping tools.
Experience with franchise or multi-unit retail operations. Lease administration professionals commonly handle lease abstraction, CAM reviews, critical date tracking, compliance monitoring, and lease audits in commercial real estate portfolios.
Technical Skills
Microsoft Excel (Advanced)
Microsoft Word
Outlook
Adobe Acrobat
Google Workspace
Lease Administration Software
Commercial Lease Databases
Google Maps / Street View
GIS & County Property Records
Document Management Systems
Success Traits
We are looking for someone who is:
Highly organized
Curious and investigative
Analytical
Process-driven
Detail-oriented
Self-motivated
Professional communicator
Comfortable reviewing contracts
Able to identify inconsistencies and discrepancies
Capable of working independently with minimal supervision
Preferred Experience
Commercial Retail Leasing
Shopping Centers
Restaurant Portfolios
Franchise Operations
Property Management
Lease Administration
Commercial Real Estate
Multi-site Operations
What You'll Accomplish
Within your first year, you will:
Maintain an accurate lease database for the entire retail portfolio.
Complete audits of all lease files.
Improve documentation accuracy and organization.
Identify billing discrepancies and lease savings opportunities.
Build strong relationships with landlords and third-party partners.
Ensure all critical lease obligations and deadlines are proactively managed.
Help create a scalable lease administration process that supports continued portfolio growth.
Pay: Php24,500.00 - Php58,000.00 per month
Application Question(s):
Please complete the form here: https://forms.gle/wrHvZVLGXohK4Rwo7
Work Location: Remote",yes,"2+ years of experience in commercial real estate, lease administration, retail property management, or a related field","2+ years of experience in commercial real estate, lease administration, retail property management, or a related field."
663,HR & Recruiting,,8,Early Childhood Recruiter,NAIS CORP.,Work from Home,"PHP 45,000 - PHP 60,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=4da35160abd5f15b,"Position Summary
The Early Childhood Recruiter is responsible for sourcing, attracting, interviewing, and placing qualified educators and support staff within early childhood education and care services. This role works closely with service managers to understand staffing needs and ensure positions are filled with high quality candidates who align with organisational values and regulatory requirements.
Key Responsibilities
Advertise vacant positions across relevant job boards and recruitment platforms.
Source and engage suitable candidates through various recruitment channels.
Screen resumes and conduct phone or virtual interviews.
Verify candidate qualifications, work rights, references, and required compliance documentation.
Build and maintain a talent pool of qualified early childhood professionals.
Coordinate interviews between candidates and hiring managers.
Prepare employment offers and assist with onboarding new employees.
Maintain accurate recruitment records and applicant tracking systems.
Develop relationships with universities, training organisations, and industry networks to attract new talent.
Promote the organisation as an employer of choice within the early childhood sector.
Ensure recruitment practices comply with Fair Work legislation, privacy requirements, and Child Safe Standards.
Answering phone calls, scheduling appointments & filtering calls.
Skills & Experience
Previous experience in recruitment, human resources, or talent acquisition (experience within early childhood is desirable).
Strong communication and interpersonal skills.
Excellent organisational and time management abilities.
Ability to manage multiple vacancies simultaneously.
High attention to detail and confidentiality.
Proficient in Microsoft Office, Spreadsheets,
Understanding of early childhood qualifications and compliance requirements is highly regarded.
Qualifications
Certificate IV or Diploma in Human Resources, Business, or a related field (preferred).
Personal Attributes
Professional and approachable.
Self-motivated and results driven.
Strong relationship building skills.
Positive and collaborative attitude.
Passion for supporting quality early childhood education.
Reporting To:
Operations Manager / Human Resources Manager (or as directed).
Pay: Php45,000.00 - Php60,000.00 per month
Work Location: Remote",no,Only optional/preferred experience found.,"Certificate IV or Diploma in Human Resources, Business, or a related field (preferred)."
662,"Software, Data & IT",,1,Reseller Acquisition Specialist – Cold Email Outreach,Vivid,Remote,"PHP 50,000 - PHP 65,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=d1e07f7ef502956a,"Job Title: Reseller Acquisition Specialist – Cold Email Outreach
Employment: Full-time, Ongoing (1-month trial( Paid ) , then On-going performance based)
Location: Remote (Philippines-based)
About Us:
We are an Australian print manufacturing company. We're building a nationwide reseller network by partnering with existing print shops across Australia. Instead of you being a print shop owner competing with others, you'd be our partner — we manufacture, you sell under your brand.
To scale this, we need someone to generate qualified leads.
The Job (Simple Version):
You send 40-50 cold emails/day to Australian print shop owners. You get replies (6-8% is normal). You call them back, ask 3 qualifying questions. If they say YES to all 3, you offer a 7% reseller discount and sign them up as a reseller. You get a $10 for every first order received from reseller you signup as bonus
Your job: Generate 30-50 resellers per month and encourage them to place their first order
What You'll Do:
Send 40-50 personalized cold emails/day (Monday-Thursday)
Call back interested prospects (Friday) and qualify them
Log everything in Google sheet
Weekly 30-min Zoom check-in with manager
Total: ~5-6 hours/day
You Need:
✅ 2+ years cold email/BDR experience (real track record)
✅ Fluent English (phone, email, video)
✅ Email automation tools (Mailshake, Lemlist, Outreach)
✅ Can work Australian hours 3-4 days/week
Pay: Php50,000.00 - Php65,000.00 per month
Work Location: Remote",yes,2+ years cold email/BDR experience (real track record),✅ 2+ years cold email/BDR experience (real track record)
661,"Admin, Executive Assistance & VA",,9,Construction Administrative Assistant,EcoBuild,Remote,"From PHP 60,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=0985982fd2142279,"Candidates who provide clear and specific answers will be reviewed first.
Company: EcoBuild Plus
Industry: Residential Construction, Remodeling, Home Improvement
Job Type: Full-time
Schedule: Central Time / CST hours required
Pay: ₱60,000.00 per month
About EcoBuild Plus
EcoBuild Plus is a trusted Chicagoland general contractor with 25+ years of experience in custom home building, luxury remodeling, home additions, accessible remodeling, and commercial construction.We support homeowners and clients through detailed, high-quality projects that require strong communication, accurate documentation, organized scheduling, and reliable follow-up from start to finish.
Because our work moves quickly, we are looking for someone who understands U.S. construction and remodeling operations and can help keep customers, project details, documents, schedules, and team communication organized.
We are looking for an Admin Assistant with real U.S. construction, remodeling, roofing, contractor, or home services experience.
This is not a basic admin or data-entry role. This position supports a busy construction and remodeling company where accuracy, follow-up, communication, and documentation matter every day.
Important Requirement
Applicants must have experience working with a U.S.-based construction, remodeling, roofing, general contractor, home improvement, or home services company.
General virtual assistant or admin experience alone is not enough.
You must already understand common U.S. construction admin workflows such as:
Customer inquiries and follow-ups
Estimates and proposals
Appointments and site visits
Project files and documentation
Permits, invoices, contracts, and schedules
Communication with homeowners, vendors, subcontractors, and field teams
CRM updates, trackers, and shared folders
Who We Are Looking For
We need someone sharp, organized, reliable, and detail-oriented.
The right person can keep tasks moving, update records accurately, follow up without being reminded, and communicate professionally with customers and team members.
You should be comfortable working with:
Homeowners
Vendors
Subcontractors
Estimators
Project managers
Field crews
Internal office team members
Key Responsibilities
You will help keep daily operations organized by:
Answering and responding to calls, emails, texts, and customer inquiries
Scheduling estimates, site visits, inspections, project meetings, and follow-ups
Updating customer records, lead information, project notes, and internal trackers
Organizing contracts, permits, invoices, estimates, photos, and project files
Following up with customers, vendors, subcontractors, and team members
Supporting estimators, project managers, sales team, and leadership
Tracking open leads, pending estimates, project updates, and customer follow-ups
Maintaining accurate records in the CRM, spreadsheets, and shared folders
Preparing simple reports, task lists, schedules, and daily updates
Helping make sure important messages, documents, and tasks are not missed
Required Qualifications
You must have:
Experience with a U.S.-based construction, remodeling, roofing, contractor, or home services company
At least 2 years of admin, office assistant, project coordination, or operations support experience
Strong understanding of U.S. construction or remodeling admin workflows
Experience with estimates, invoices, permits, contracts, schedules, or project files
Strong written and spoken English communication skills
Experience communicating with U.S. customers, vendors, subcontractors, or internal teams
Strong attention to detail
Experience using Gmail, Google Calendar, Google Docs, Google Sheets, CRM systems, or project management tools
Ability to manage multiple tasks, deadlines, and follow-ups
Ability to work during Central Time / CST business hours
Reliable internet connection and professional remote work setup
Ability to work independently and follow company processes
Preferred Experience
Experience with any of the following is a plus:
Remodeling, roofing, insulation, solar, general contracting, or residential construction
HubSpot, Jobber, Buildertrend, ClickUp, Monday.com, Asana, ServiceTitan, Housecall Pro, or similar tools
Customer follow-ups, estimates, proposals, invoices, permits, and project documentation
Coordination with field crews, subcontractors, estimators, or project managers
Working directly with U.S. homeowners or property owners
Maintaining spreadsheets, lead trackers, project trackers, and shared folders
This Role Is a Strong Fit If You Are
Organized and detail-oriented
Reliable with deadlines and follow-ups
Comfortable in a fast-moving construction or remodeling environment
Professional when speaking with customers
Good at keeping records accurate
Clear when giving updates
Comfortable using online tools, spreadsheets, email, calendars, and CRM systems
Proactive when something needs attention
Able to take ownership without constant reminders
This Role Is Not a Fit If You
Do not have U.S. construction, remodeling, roofing, contractor, or home services experience
Only have general VA, data entry, or basic admin experience
Are not comfortable communicating with customers
Struggle with schedules, details, or follow-ups
Need constant supervision
Are unfamiliar with construction-related documents or workflows
Cannot work during Central Time / CST business hours
Do not like handling multiple moving tasks
What Success Looks Like
A successful Admin Assistant at EcoBuild Plus helps the company stay organized, responsive, and professional.
You will help make sure:
Customers are followed up with
Project notes are updated
Schedules are organized
Documents are filed correctly
Leads and estimates are tracked
The team has the information needed to move work forward
Your work helps prevent missed leads, delayed follow-ups, disorganized files, and communication gaps.
Why Join EcoBuild Plus
Work with an established Chicagoland construction and remodeling company
Support real residential and commercial projects
Use your U.S. construction admin experience in a meaningful role
Be part of a team that values organization, communication, and quality work
Help improve operations and customer experience
Grow with a company that needs strong, reliable support
How to Apply
Please submit your resume and answer the application questions clearly.
Only applicants with U.S. construction, U.S. remodeling, U.S. roofing, U.S. contractor, or U.S. home services experience will be prioritized.
In your application, please include:
The type of U.S. construction or remodeling company you worked for
Your exact admin responsibilities
The tools or systems you used
The types of customers, documents, schedules, or projects you supported
Pay: From Php60,000.00 per month
Benefits:
Work from home
Application Question(s):
Please describe your direct experience supporting a U.S.-based construction, remodeling, roofing, home improvement, contractor, or home services company. What type of company was it, what admin tasks did you handle, and what construction-related documents or workflows did you support?
Experience:
Administrative: 5 years (Required)
US Construction and Remodeling: 3 years (Required)
Work Location: Remote",yes,"At least 2 years of admin, office assistant, project coordination, or operations support experience","At least 2 years of admin, office assistant, project coordination, or operations support experience"
660,Customer Support & Service,,3,Debt Collector (Remote),Global Choice Solutions,Remote,"PHP 50,000 a month",Full-time,,2026-07-02T21:40:17+00:00,https://ph.indeed.com/viewjob?jk=567231273887feb7,"Debt Collector (Buy Here Pay Here Account Representative)
Location: Remote
Salary: $800/USD Monthly
Schedule: US Hours, Monday - Friday 9am 6pm EST [Graveyard Shift MNL]
We’re hiring a high-accuracy, confident, and customer-focused Debt Collector to manage the daily payment activity of a Buy Here Pay Here (BHPH) dealership. You’ll be responsible for proactive outreach, account follow-up, documenting all customer interactions, and helping customers stay on track with their payment agreements.
This is NOT a call center “hard collections” environment — it’s relationship-based, structured, and requires excellent communication skills, emotional intelligence, and consistency.
Responsibilities
Make daily outbound calls to customers regarding past-due payments, upcoming due dates, and broken promises.
Receive inbound calls and assist customers with payment questions, arrangements, or account updates.
Follow a defined contact cadence and update notes accurately inside the DMS/CRM.
Identify high-risk accounts and escalate according to SOPs (e.g., repossession thresholds).
Run daily worklists (past due, PTPs, new late customers, failed auto drafts).
Maintain 100% accurate documentation of all interactions.
Provide respectful, professional communication — even in difficult conversations.
Maintain confidentiality of customer information at all times.
Collaborate with teammates and supervisors to meet performance targets.
Requirement
Clear accent, strong grammar, confident phone presence required.
Experience in:
Collections,
Customer service,
Call center, or
BHPH/Financial services (preferred, but not required).
Strong negotiation skills and emotional intelligence.
Comfortable making 100–120 calls per day.
Stable internet, backup power preferred, noise-free workspace.
Ability to follow structured processes and meet daily targets.
Strong attention to detail and excellent documentation habits.
Pay: Php50,000.00 per month
Application Question(s):
How many year's experience do you have working remotely?
Do you have experience working with a U.S. based client?
Have you had a full-time role in within the last 6 months?
Work Location: Remote",unclear,No explicit main requirement found.,
